CATEGORY	DATE	TWEET
Health	2023-03-13	"12 - #Tesla $TSLA Xpeng presents updated P7 called P7i ""Chinese electric car manufacturer Xpeng is putting the spotlight on the facelift of its P7 sedan, which is also available in Europe. The new edition is called Xpeng P7i &amp; can be ordered in China as of now."" Read more"
Health	2023-03-13	"16 - #Tesla $TSLA GM May Introduce ChatGPT AI Assistant Into Its Vehicles ""General Motors is evaluating the possibility of using #ChatGPT in its vehicles, thanks largely to its broad collaboration with #Microsoft."" Read more"
Health	2023-03-13	"11 - #Tesla $TSLA BYD slashes price of Song and Seal in China as EV price wars heat up ""BYD is joining the Chinese price wars with price cuts to the Song Plus line-up and Seal for the rest of March. The price cut will be in the form of a discount."" Read more"
Health	2023-03-13	@cb_doge @elonmusk @Teslaconomics #Tesla #CyberTruck The Official #EndTimesVehicle
Health	2023-03-13	@detectfights That's officers name is #Tesla and they just removed his #uss ULTRA SONIC SENSE, his #TeslaVision update is still pending
Health	2023-03-13	"14 - #Tesla $TSLA EV maker Tevva partners with Ecobat for battery management ""British EV manufacturer Tevva has entered into a partnership with battery recycling company Ecobat for the repair, repurposing and recycling of Tevvas lithium-ion batteries."" Read more"
Health	2023-03-13	Everyone tag @elonmusk please so he sees this #ElonMusk #Tesla
Health	2023-03-13	. @elonmusk any evidence of #censorship efforts from regulators around #bitcoin on twtr especially today? PS loyal #tesla owner here $tsla
Health	2023-03-13	"13 - #Tesla $TSLA Volkswagen Picks Canada for 1st North American Battery Cell Plant ""European automaker Volkswagen stands to gain access to new electric vehicle (EV) subsidies in North America as it prepares to build its first battery cell plant on the continent."" Read more"
Health	2023-03-13	"15 - #Tesla $TSLA First Solar, Tata Among Bidders For Indias $2.4 Billion Solar Module Subsidy ""Indian media outlets have reported that some of the largest renewable energy companies in the country have put in bids seeking subsidies to manufacture solar modules."" Read more"
Health	2023-03-13	@DMC_Ryan @Gfilche @Tesla @elonmusk Currently good enough for camping, but insignificant for driving.
Health	2023-03-13	@williamlegate @MarioNawfal @unusual_whales @WhalesGuru @jimcramer @litcapital @Cokedupoptions @AutismCapital I think hes the only reason silicon bank went bankrupt after he recommended them when he recommended Tesla the stock drop 75%. he has the Magic touch kiss of death. Be careful if he says youre going to live forever. Youll probably be dead in the next one week.
Health	2023-03-13	@AnArkPassenger @theolagendijk @BrandonTSLA @Tesla One Confused Man and His Dog #renewable
Health	2023-03-13	@TicTocTick not according to my tesla puts
Health	2023-03-13	@Same80Crypto @theolagendijk @BrandonTSLA @Tesla Go a diper on
Health	2023-03-13	@QCompounding Where's Tesla?
Health	2023-03-13	@Skylerrrx5 @drewbian When they place the Balloon in the outermost corner like that, you need to place your building one tile over from the regular placement to pull it. I play Tesla and that's how I deal with this situation. This also applies for if they push it with an air troop (ex. Bats)
Health	2023-03-13	@willPS21 @AltSanJuanIsle @williamlegate @Bomco1776 @elonmusk The post says it charges at.. I understood that to mean it charges at the rate of 35KW, which struck me as unlikely, esp as OP said Tesla x10 as much. Ok, I understand the OP may may have been talking about battery *capacity*, not charge rate.
Health	2023-03-13	@esherifftv @Tesla_Optimus Great to see you recovering so well. I have some experience with what you are going through. Good luck with all the physio ahead and hopefully in good time you will be back to normal! Cheers from the Yukon.
Health	2023-03-13	@DMC_Ryan @Gfilche @Tesla @elonmusk Currently good enough for camping, but insignificant for driving.
Health	2023-03-13	About six stocks. -Dont listen anyone. -Choose your own ones -#tsla never make you wrong. -Dont sell when it fall down. - Dont sell when it goes up. -Wait for split stocks -Be patient
Health	2023-03-13	#TSLA be careful smart folk. Wall street owns too much now. Hated it at 90 120 love it at 224. China slashing prices to keep up with downturn and EV GLUT. I like NIO AT $7 TSLA wallstreet clowns own it so careful
Health	2023-03-13	@williamlegate @MarioNawfal @unusual_whales @WhalesGuru @jimcramer @litcapital @Cokedupoptions @AutismCapital I think hes the only reason silicon bank went bankrupt after he recommended them when he recommended Tesla the stock drop 75%. he has the Magic touch kiss of death. Be careful if he says youre going to live forever. Youll probably be dead in the next one week.
Health	2023-03-13	MV=PQ = ; m2 decreases with velocity decreases (because banks are failing) means output decreases / prices decrease or both. With Ai and TSLA, demand is infinite (sorry had to put in TSLA ), so prices will decrease #TSLA
Health	2023-03-13	@tradertvshawn @federalreserve wow #TSLA at 165 today
Health	2023-03-13	@AnArkPassenger @theolagendijk @BrandonTSLA @Tesla One Confused Man and His Dog #renewable
Health	2023-03-13	Open: $167.46 Close: $174.48 Range: $163.92 - $177.34 Its not too late to buy #TSLA
Health	2023-03-13	@TicTocTick not according to my tesla puts
Health	2023-03-13	@elonmusk YOU SHOULD seriously consider buying $SIVB assets from FDIC. @elonmusk can cost average down on the @Twitter investment. #TSLA #BANK control the #Media &amp; #Finance &amp; #EV &amp; #Aerospace &amp; #Tech Startups !All branches are open today. Few billion $$ will take it #ALL
Health	2023-03-13	@CoinScanDeFi $DIONE one and only, the crypto blockchain answer to #TSLA and Solar City
Health	2023-03-13	m o o n s h o t: Lol one could make a living off of just day trading $TSLA, the volatility is crazy indeed #TSLA
Health	2023-03-13	@Same80Crypto @theolagendijk @BrandonTSLA @Tesla Go a diper on
Health	2023-03-13	@QCompounding Where's Tesla?
Health	2023-03-13	@Skylerrrx5 @drewbian When they place the Balloon in the outermost corner like that, you need to place your building one tile over from the regular placement to pull it. I play Tesla and that's how I deal with this situation. This also applies for if they push it with an air troop (ex. Bats)
Health	2023-03-13	@willPS21 @AltSanJuanIsle @williamlegate @Bomco1776 @elonmusk The post says it charges at.. I understood that to mean it charges at the rate of 35KW, which struck me as unlikely, esp as OP said Tesla x10 as much. Ok, I understand the OP may may have been talking about battery *capacity*, not charge rate.
Health	2023-03-13	CPI data will release tomorrow at 8:30 am EST Expectation: CPI will slow to a 0.4% gain on a month-to-month basis and to a 6% gain on an annual basis $SPY $TSLA $AAPL $SIVB $COIN $RBLX $ROKU $GS $WFC $FRC #SPY #AAPL #TSLA #SIVB #Coinbase #rblx #Roku #gs
Health	2023-03-13	@esherifftv @Tesla_Optimus Great to see you recovering so well. I have some experience with what you are going through. Good luck with all the physio ahead and hopefully in good time you will be back to normal! Cheers from the Yukon.
Health	2023-03-13	@esherifftv @Tesla_Optimus Great to see you recovering so well. I have some experience with what you are going through. Good luck with all the physio ahead and hopefully in good time you will be back to normal! Cheers from the Yukon.
Health	2023-03-13	@Same80Crypto @theolagendijk @BrandonTSLA @Tesla Go a diper on
Health	2023-03-13	@williamlegate @MarioNawfal @unusual_whales @WhalesGuru @jimcramer @litcapital @Cokedupoptions @AutismCapital I think hes the only reason silicon bank went bankrupt after he recommended them when he recommended Tesla the stock drop 75%. he has the Magic touch kiss of death. Be careful if he says youre going to live forever. Youll probably be dead in the next one week.
Health	2023-03-13	@DMC_Ryan @Gfilche @Tesla @elonmusk Currently good enough for camping, but insignificant for driving.
Health	2023-03-13	@TicTocTick not according to my tesla puts
Health	2023-03-13	@willPS21 @AltSanJuanIsle @williamlegate @Bomco1776 @elonmusk The post says it charges at.. I understood that to mean it charges at the rate of 35KW, which struck me as unlikely, esp as OP said Tesla x10 as much. Ok, I understand the OP may may have been talking about battery *capacity*, not charge rate.
Health	2023-03-13	@AnArkPassenger @theolagendijk @BrandonTSLA @Tesla One Confused Man and His Dog #renewable
Health	2023-03-13	@QCompounding Where's Tesla?
Health	2023-03-13	@Skylerrrx5 @drewbian When they place the Balloon in the outermost corner like that, you need to place your building one tile over from the regular placement to pull it. I play Tesla and that's how I deal with this situation. This also applies for if they push it with an air troop (ex. Bats)
Health	2023-03-13	@esherifftv @Tesla_Optimus Great to see you recovering so well. I have some experience with what you are going through. Good luck with all the physio ahead and hopefully in good time you will be back to normal! Cheers from the Yukon.
Health	2023-03-13	@Same80Crypto @theolagendijk @BrandonTSLA @Tesla Go a diper on
Health	2023-03-13	@williamlegate @MarioNawfal @unusual_whales @WhalesGuru @jimcramer @litcapital @Cokedupoptions @AutismCapital I think hes the only reason silicon bank went bankrupt after he recommended them when he recommended Tesla the stock drop 75%. he has the Magic touch kiss of death. Be careful if he says youre going to live forever. Youll probably be dead in the next one week.
Health	2023-03-13	MV=PQ = ; m2 decreases with velocity decreases (because banks are failing) means output decreases / prices decrease or both. With Ai and TSLA, demand is infinite (sorry had to put in TSLA ), so prices will decrease #TSLA
Health	2023-03-13	@DMC_Ryan @Gfilche @Tesla @elonmusk Currently good enough for camping, but insignificant for driving.
Health	2023-03-13	About six stocks. -Dont listen anyone. -Choose your own ones -#tsla never make you wrong. -Dont sell when it fall down. - Dont sell when it goes up. -Wait for split stocks -Be patient
Health	2023-03-13	@tradertvshawn @federalreserve wow #TSLA at 165 today
Health	2023-03-13	@TicTocTick not according to my tesla puts
Health	2023-03-13	@CoinScanDeFi $DIONE one and only, the crypto blockchain answer to #TSLA and Solar City
Health	2023-03-13	m o o n s h o t: Lol one could make a living off of just day trading $TSLA, the volatility is crazy indeed #TSLA
Health	2023-03-13	@willPS21 @AltSanJuanIsle @williamlegate @Bomco1776 @elonmusk The post says it charges at.. I understood that to mean it charges at the rate of 35KW, which struck me as unlikely, esp as OP said Tesla x10 as much. Ok, I understand the OP may may have been talking about battery *capacity*, not charge rate.
Health	2023-03-13	@AnArkPassenger @theolagendijk @BrandonTSLA @Tesla One Confused Man and His Dog #renewable
Health	2023-03-13	CPI data will release tomorrow at 8:30 am EST Expectation: CPI will slow to a 0.4% gain on a month-to-month basis and to a 6% gain on an annual basis $SPY $TSLA $AAPL $SIVB $COIN $RBLX $ROKU $GS $WFC $FRC #SPY #AAPL #TSLA #SIVB #Coinbase #rblx #Roku #gs
Health	2023-03-13	#TSLA be careful smart folk. Wall street owns too much now. Hated it at 90 120 love it at 224. China slashing prices to keep up with downturn and EV GLUT. I like NIO AT $7 TSLA wallstreet clowns own it so careful
Health	2023-03-13	@elonmusk YOU SHOULD seriously consider buying $SIVB assets from FDIC. @elonmusk can cost average down on the @Twitter investment. #TSLA #BANK control the #Media &amp; #Finance &amp; #EV &amp; #Aerospace &amp; #Tech Startups !All branches are open today. Few billion $$ will take it #ALL
Health	2023-03-13	Open: $167.46 Close: $174.48 Range: $163.92 - $177.34 Its not too late to buy #TSLA
Health	2023-03-13	@QCompounding Where's Tesla?
Health	2023-03-13	@Skylerrrx5 @drewbian When they place the Balloon in the outermost corner like that, you need to place your building one tile over from the regular placement to pull it. I play Tesla and that's how I deal with this situation. This also applies for if they push it with an air troop (ex. Bats)
Health	2023-03-14	@Jon4Lakers @Tesla Snake oil
Health	2023-03-14	Tesla walks away from 6.5 million in California Grants for super chargers because the regulation and payment systems were too cumbersome. Another One bites the dust @GavinNewsom @elonmusk @SpeakerMcCarthy
Health	2023-03-14	@Jon4Lakers @Tesla Already dated.
Health	2023-03-14	@MobileTap @Tesla @invest_answers I hope so! Lots of cash waiting ;-)
Health	2023-03-14	@Pimpdaddyboi @JoeBiden Invest in Tesla.
Health	2023-03-14	@dontmuskitup @GavinNewsom Really tesla is moving and he's thinking of moving twitter as well lol
Health	2023-03-14	@vincent13031925 Yah good call imo. Imagine adding screens and card readers...introducing issues that plague the excellent tesla charging experience. No thanks. Keep doing what you're doing - we love it as is.
Health	2023-03-14	The only person I know owns a Tesla is Dominiques friend she went to TX A&amp;M with..he is also a Graduate
Health	2023-03-14	Hydra: Very nice two day bounce from $TSLA #TSLA
Health	2023-03-14	@Jon4Lakers @Tesla Snake oil
Health	2023-03-14	@SawyerMerritt @TeslaShopBot @realMeetKevin if #TSLA goes to $500 by end of the year, will you brand your right butt cheek? haha
Health	2023-03-14	Tesla walks away from 6.5 million in California Grants for super chargers because the regulation and payment systems were too cumbersome. Another One bites the dust @GavinNewsom @elonmusk @SpeakerMcCarthy
Health	2023-03-14	@Jon4Lakers @Tesla Already dated.
Health	2023-03-14	@MobileTap @Tesla @invest_answers I hope so! Lots of cash waiting ;-)
Health	2023-03-14	Today was a nice day but there will be brighter days ahead #tsla
Health	2023-03-14	While most auto companies are trying to figure out how to save minutes during manufacturing to compete with Tesla, Tesla is trying to figure out how to save seconds while competing with themself. A 3 year old can predict how this story ends. #TSLA $TSLA
Health	2023-03-14	@Pimpdaddyboi @JoeBiden Invest in Tesla.
Health	2023-03-14	They say culture eats strategy every time. Tesla has both. #TSLA
Health	2023-03-14	Who goes into their car just to relax if your home the entire day you just go into your car to escape the world and house tesla is your home now #tsla
Health	2023-03-14	@dontmuskitup @GavinNewsom Really tesla is moving and he's thinking of moving twitter as well lol
Health	2023-03-14	@Ren007Stocks @DavidMichery is a fuckin scam artist. He and @elonmusk started about the same time. #TSLA goes from $1.28 to a max of 400+. #MULN goes from $850 to a fucking dime all while BITCHERY is getting paid WAY MORE than other CEOs.
Health	2023-03-14	No matter how stressful the day your tesla is there waiting to drive you home and is there to take you anywhere you want to go. You just navigate, double tap the stalk, and touch the wheel every so often and it will take you there #tsla
Health	2023-03-14	@vincent13031925 Yah good call imo. Imagine adding screens and card readers...introducing issues that plague the excellent tesla charging experience. No thanks. Keep doing what you're doing - we love it as is.
Health	2023-03-14	The only person I know owns a Tesla is Dominiques friend she went to TX A&amp;M with..he is also a Graduate
Health	2023-03-14	Life is variable, family/friends may not be there but your tesla is there for you #tsla
Health	2023-03-14	Most people will believe that future Tesla price cuts will point towards a demand problem. Few will realize that its their manufacturing, verticality, &amp; supply chain management that allows them to make EVs cheaper and cheaper and cheaper and cheaper and . . . #TSLA $TSLA
Health	2023-03-14	The only person I know owns a Tesla is Dominiques friend she went to TX A&amp;M with..he is also a Graduate
Health	2023-03-14	@dontmuskitup @GavinNewsom Really tesla is moving and he's thinking of moving twitter as well lol
Health	2023-03-14	Tesla walks away from 6.5 million in California Grants for super chargers because the regulation and payment systems were too cumbersome. Another One bites the dust @GavinNewsom @elonmusk @SpeakerMcCarthy
Health	2023-03-14	@vincent13031925 Yah good call imo. Imagine adding screens and card readers...introducing issues that plague the excellent tesla charging experience. No thanks. Keep doing what you're doing - we love it as is.
Health	2023-03-14	@MobileTap @Tesla @invest_answers I hope so! Lots of cash waiting ;-)
Health	2023-03-14	@Pimpdaddyboi @JoeBiden Invest in Tesla.
Health	2023-03-14	@Jon4Lakers @Tesla Snake oil
Health	2023-03-14	@Jon4Lakers @Tesla Already dated.
Health	2023-03-14	@Ren007Stocks @DavidMichery is a fuckin scam artist. He and @elonmusk started about the same time. #TSLA goes from $1.28 to a max of 400+. #MULN goes from $850 to a fucking dime all while BITCHERY is getting paid WAY MORE than other CEOs.
Health	2023-03-14	Who goes into their car just to relax if your home the entire day you just go into your car to escape the world and house tesla is your home now #tsla
Health	2023-03-14	The only person I know owns a Tesla is Dominiques friend she went to TX A&amp;M with..he is also a Graduate
Health	2023-03-14	@dontmuskitup @GavinNewsom Really tesla is moving and he's thinking of moving twitter as well lol
Health	2023-03-14	Today was a nice day but there will be brighter days ahead #tsla
Health	2023-03-14	While most auto companies are trying to figure out how to save minutes during manufacturing to compete with Tesla, Tesla is trying to figure out how to save seconds while competing with themself. A 3 year old can predict how this story ends. #TSLA $TSLA
Health	2023-03-14	Tesla walks away from 6.5 million in California Grants for super chargers because the regulation and payment systems were too cumbersome. Another One bites the dust @GavinNewsom @elonmusk @SpeakerMcCarthy
Health	2023-03-14	@SawyerMerritt @TeslaShopBot @realMeetKevin if #TSLA goes to $500 by end of the year, will you brand your right butt cheek? haha
Health	2023-03-14	Life is variable, family/friends may not be there but your tesla is there for you #tsla
Health	2023-03-14	They say culture eats strategy every time. Tesla has both. #TSLA
Health	2023-03-14	No matter how stressful the day your tesla is there waiting to drive you home and is there to take you anywhere you want to go. You just navigate, double tap the stalk, and touch the wheel every so often and it will take you there #tsla
Health	2023-03-14	@vincent13031925 Yah good call imo. Imagine adding screens and card readers...introducing issues that plague the excellent tesla charging experience. No thanks. Keep doing what you're doing - we love it as is.
Health	2023-03-14	Hydra: Very nice two day bounce from $TSLA #TSLA
Health	2023-03-14	@MobileTap @Tesla @invest_answers I hope so! Lots of cash waiting ;-)
Health	2023-03-14	Most people will believe that future Tesla price cuts will point towards a demand problem. Few will realize that its their manufacturing, verticality, &amp; supply chain management that allows them to make EVs cheaper and cheaper and cheaper and cheaper and . . . #TSLA $TSLA
Health	2023-03-14	@Pimpdaddyboi @JoeBiden Invest in Tesla.
Health	2023-03-14	@Jon4Lakers @Tesla Snake oil
Health	2023-03-14	@Jon4Lakers @Tesla Already dated.
Health	2023-03-14	The only person I know owns a Tesla is Dominiques friend she went to TX A&amp;M with..he is also a Graduate
Health	2023-03-14	Just FYI. The Wichita Kansas supercharger is not meant for a Tesla pulling a trailer. If you want to charge here you will have to drop your trailer. #Tesla
Health	2023-03-14	@Jon4Lakers @Tesla Snake oil
Health	2023-03-14	@AukeHoekstra @Tesla Please Please pretty Please do us all a big favor and bunk/debunk the underlying whitepaper with assumptions and calculations when Tesla publishes it. Very much looking forward to it! Thanks in advance
Health	2023-03-14	@vincent13031925 Yah good call imo. Imagine adding screens and card readers...introducing issues that plague the excellent tesla charging experience. No thanks. Keep doing what you're doing - we love it as is.
Health	2023-03-14	@teslaownersSV Tesla is the safest on the road
Health	2023-03-14	@DermotNCosgrove @brollbenny @OtherRyan898 No. everyone needs to hear about it its literally the funniest thing to happen on Twitter since Elon lost Tesla shareholders a shit ton of money
Health	2023-03-14	@CorySteuben @Tesla @elonmusk @LimitingThe Sounds about right
Health	2023-03-14	@Irelandreid @BombshellSports Better than a Tesla
Health	2023-03-14	frost, blooprint, stevie, kimchi, tacularr, disfigure, tesla, all posted in the same week holy fuck
Health	2023-03-14	@TSLAFanMtl @Tesla These guys are finally listening to you
Health	2023-03-14	@fasc1nate @elonmusk this would be amazing to have for Tesla! Not like your entire battery of course but like an emergency hot swappable one.
Health	2023-03-14	@SavnRyansPrvate @JoshWest247 @tesla_europe Dance Brian
Health	2023-03-14	@ColinChevalier9 @0617_eth @RocketLeague @VW @Tesla Frfr
Health	2023-03-14	@arctechinc @Tesla stop scamming people give them what you advertised
Health	2023-03-14	@killacuh2 @APazyryk Tesla over the last year: * $TSLA stock down 30% * Lost BEV sales race in Europe to VW * Cars lost ultrasonic sensors, Auto Park, Summon * Slumping demand prompted price cuts * Autopilot slips into 7th place * Model Y deemed less safe than Ford Mach E
Health	2023-03-14	"@brewmeone NICE PICK, WOW. YOU JUST WON A... TESLA MODEL ""S"". CONGRATULATIONS!!!!"
Health	2023-03-14	@burrosavic They don't want to get a scratch on their new Tesla's
Health	2023-03-14	@Teslarati It helps if these people know the difference between autopilot and FSD beta feautures. Autopilot is just advanced cruise control with steering assist. Even basic auto brands have this. So they need to regulate the entire industry not just Tesla. Alas, only Tesla gets called out.
Health	2023-03-14	@MaliaPlor @codehurtsbrain @g4ppy2_g4ppy @RoflGPT @awscloud @TwitchEsports @brookeab @TwitchSings @Dinnerbone @notch @sisisimon @elonmusk @teslapiza IS THIS TESLA IN QUANTUM SPACE?! AM I TALKING TO NIKOLA?! I mean.. it sounds like Nikola 8k
Health	2023-03-14	@tetisiwa It's not Edison and Tesla?
Health	2023-03-14	@SERobinsonJr @MiMi18577472 @Tesla @elonmusk Im waiting for the Cybertruck to be delivered to me this year!
Health	2023-03-14	@TeslaSynopsis @Tesla @elonmusk To much pollution for few energy
Health	2023-03-14	@slye Wait for Tesla van
Health	2023-03-14	@cb_doge @elonmusk Can I hv. 1 Tesla. How to earn it?
Health	2023-03-14	@AllThingsTSLA @Tesla Brand should be bigger!
Health	2023-03-14	@EliotJacobson Yes but this is not climate. Its simply another temporary bit of weather. No amount of Teslas will have an effect on the climate.
Health	2023-03-14	@Tesla Crysis is a masterpiece
Health	2023-03-14	Telling Christians that I like their Tesla necklace
Health	2023-03-14	@adro91836234 @jpr007 @Factschaser Yeah he may need to since he said just yesterday that Tesla wouldnt catch VW, lol
Health	2023-03-14	"""If we use our fuel to get our power, we are living on our capital and exhausting it rapidly. This method is barbarous and wantonly wasteful, and will have to be stopped in the interest of coming generations."" Nikola Tesla"
Health	2023-03-14	@zwxrt_ @CFCNiko @TheLampardView Tesla is the worst one there
Health	2023-03-14	@SawyerMerritt The people choose what to buy, and Tesla production is ramping in Berlin.
Health	2023-03-14	@MobileTap @Tesla @invest_answers I hope so! Lots of cash waiting ;-)
Health	2023-03-14	@farzyness never buy anything, esp. a car. from a psychopath....anything BUT tesla!
Health	2023-03-14	@Tesla Now sell me two more powerwalls direct so I don't get ripped off by the local solar companies.
Health	2023-03-14	@Factschaser @adro91836234 @jefferyess @graeme_cobb After raising them due to higher parts prices. He'd already announced they would go back down. Tesla cuts corners (removing parking sensors for example) but they're moving a shitton of cars. Because they're pretty good at the price.
Health	2023-03-14	@8_O_5 @cb_doge @elonmusk LMAO yup it would totally be a smart move it Im sure that Tesla would be around for sometime and would not be surprised if they had a a loan department open up just for Teslas through SVB! But one step at a time!
Health	2023-03-14	@Tesla This is absolutely one of the most underrated features of the Tesla SC network, and is a huge part of why it always just seems to work.
Health	2023-03-14	@katy_liberty @tesla_europe @elonmusk No shes doing the driving. Shes too much of a control freak to let the car drive.
Health	2023-03-14	@Tesla Super happy about Supercharging!
Health	2023-03-14	@ChrisRinvesting @Bimmer3D @gwestr I dont have money in Tesla... lol. I just read their 2022 earnings report unlike you. I did have tesla shares and sold out after an 80% gain. I'll be happy to DM you a screenshot if you don't believe me. But I don't want you to feel bad when we measure portofio-peens.
Health	2023-03-14	@jonatha26052632 @SecGranholm @SecretaryPete @Tesla Oil, gas, coal companies have benefited from untold subsidies in many forms over the years. It's time to level the playing field.
Health	2023-03-14	@bburnworth Do we even know if the Semis are for sale? It would not shock me if they are are all fleet leases until Tesla has fully scaled up production and switched to 4680s.
Health	2023-03-14	@Tesla love to see the cost
Health	2023-03-14	@canberratimes @AlexCrowe12 Good. I love those long dry hot El Nino summers. Besides it's normal. The Earth's oceans and atmosphere in a constant dance to maintain Earth's temperature. It's called Weather. And it happens all the time and forever. Driving a Tesla means 0.
Health	2023-03-14	@ohshidt I actually think the opposite is true. Zero ventilation in houses causes mold and damp so wouldn't the same in a car be true? (This is also a Tesla fail)
Health	2023-03-14	@casparterhorst @Tesla Fully agreed. All other things being equal, prioritizing V3+ can make road trips even just a little faster and a little easier.
Health	2023-03-14	@Jon4Lakers @Tesla The most anticipated electric truck
Health	2023-03-14	@EvasTeslaSPlaid @Tesla Jim Cramer bets against his audience. If he wasn't a douche, he'd just be another empty suit -- like every real estate agent.
Health	2023-03-14	@elonmusk @mckaywrigley @gdb Poor old man ,still waiting for that free Tesla.Just leave it in the driveway.I promise I won't brag!!
Health	2023-03-14	@Tesla Why is the graph line up and down emulating a sinusoidal wave? if the average wait times are going down over time , I would imagine itll be linear with negative slope
Health	2023-03-14	@CornelyTristan @Tesla @LucidMotors Always choose Tesla. Lucid is junk and about to be bankrupt!
Health	2023-03-14	@GMAM1977 Tesla over the last year: * $TSLA stock down 30% * Lost BEV sales race in Europe to VW * Cars lost ultrasonic sensors, Auto Park, Summon * Slumping demand prompted price cuts * Autopilot slips into 7th place * Model Y deemed less safe than Ford Mach E
Health	2023-03-14	@dontmuskitup @GavinNewsom Really tesla is moving and he's thinking of moving twitter as well lol
Health	2023-03-14	@PeterZeihan Is she the one who said everyone should buy a tesla like her and then they wouldnt have to worry about rising gas prices lol
Health	2023-03-14	@Jon4Lakers @Tesla Already dated.
Health	2023-03-14	@TESLA_winston @Tesla @greentheonly @WhamBaamYT AI can not account for stupidity.
Health	2023-03-14	@0617_eth @RocketLeague @VW @Tesla .eth on your name Shush
